,Reference area,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
43,RO:Romania,62.421667,60.2825,54.445,63.501667,84.053333,72.525,81.345,82.48,83.099167,81.035,83.023333,97.599167,104.384167,112.9,106.723334,98.886667,100,102.5125,96.345,100.949167,101.685833,97.775,96.0875,94.81,97.320833,97,98.4625,99.391667
44,NO:Norway,92.9325,95.535,94.410833,94.404167,92.075833,92.533333,90.656667,93.844167,101.553333,100.68,96.248333,99.304167,98.846667,98.876667,98.663333,96.17,100.000834,100.335833,99.636667,97.958333,93.323333,84.624167,85.174167,86.055833,86.248333,84.145833,78.506667,83.326667
45,JP:Japan,134.036667,135.469167,113.544167,106.531667,106.3125,119.321666,125.874167,112.331667,105.064167,105.455,106.3325,99.650834,90.123333,82.414167,88.548334,99.468333,99.998334,101.289167,100.0025,79.6775,75.091667,70.029167,79.374167,75.550833,74.805,77.009167,77.75,70.9825
46,BG:Bulgaria,45.313334,52.475833,46.06,56.1575,64.8875,66.895,69.025,73.053334,76.0125,78.99,82.651667,82.9475,86.599167,91.518333,99.548333,103.619167,99.999167,101.723333,100.186667,100.794166,99.726667,96.3125,96.545834,98.029167,101.379167,102.210833,105.094167,106.546667
47,BE:Belgium,102.5525,105.724167,102.810833,97.425833,98.286667,96.706667,92.706667,93.3775,94.5525,98.500834,100.089167,100.146667,99.664167,100.261667,102.796667,102.7825,99.998333,101.009166,99.0775,100.506667,100.3525,95.989167,98.495833,99.7875,101.915,100.58,101.791667,101.91
48,FI:Finland,107.776667,115.480834,108.535833,103.89,105.198333,104.263334,99.456667,100.5325,101.84,106.299167,106.1875,103.434167,102.111667,103.375833,104.966667,105.958334,100,99.84,97.421666,99.121667,100.814167,97.065834,98.031667,97.498333,99.1175,97.751667,98.6625,98.105833
49,RU:Russia,46.9325,60.358334,79.765,85.3625,75.24,48.083333,54.203333,64.535,66.196667,67.313334,72.455833,80.124167,88.6075,93.584167,99.963334,91.508333,99.999167,103.745,104.903333,106.7075,96.1675,77.211667,76.115834,88.373333,81.116667,84.07,77.081667,75.8825
50,IS:Iceland,125.33,123.8775,122.880834,124.825833,128.646667,132.37,137.470833,120.06,127.046667,133.281667,136.538333,153.908333,143.550834,149.686667,116.910833,94.9925,100,100.911667,101.136667,104.545833,111.683334,114.8425,129.701667,145.379167,140.845833,131.849167,121.385833,126.365
51,MT:Malta,86.896667,88.583334,87.093334,89.1075,93.029167,92.348334,90.775834,92.505,93.785833,96.124167,98.986667,98.180833,98.360834,99.2075,103.943333,106.834167,100.001667,100.019167,96.399167,98.521667,97.881667,92.828334,94.313334,95.166667,96.685,95.53,96.8775,96.068333
52,ZA:South Africa,116.1775,113.009167,103.583334,109.253333,101.130833,94.97,91.793334,80.939167,69.418334,91.2275,99.375833,100.479167,96.399167,90.8925,79.7925,86.834167,100.000833,98.113334,92.198334,82.011667,77.096667,75.248333,70.025833,79.500833,80.759167,78.176667,70.339167,77.148333
53,ES:Spain,91.186667,92.403333,93.84,89.446667,90.4725,90.309167,88.1775,89.923334,92.148333,96.609166,98.650833,99.0375,100.29,101.704166,103.38,103.094167,99.999167,100.530833,98.345,99.858333,99.355833,94.608334,95.160833,96.375833,97.9575,96.403333,96.588333,97.376667
54,MY:Malaysia,116.050833,116.473334,121.990833,118.406667,94.993333,96.381667,97.916666,103.215833,103.514167,97.634167,93.19,93.119167,96.1375,97.9425,97.909167,94.980834,100,99.814167,99.569167,99.683334,99.283334,91.173334,87.716667,86.1525,89.7125,88.594167,85.414167,84.37
55,IT:Italy,96.46,89.465,98.713333,98.245,99.6575,98.644167,94.030833,95.03,97.15,102.710833,104.416667,102.759167,102.296667,102.7675,103.440833,104.300833,100.000833,99.963334,98.141667,99.608334,99.6,94.755834,95.310833,95.7025,96.995,94.991667,95.4,95.079167
56,MX:Mexico,110.603333,74.603334,83.4625,96.584167,98.018333,107.128333,116.553333,124.920833,125.315,111.261667,106.295833,110.209167,110.191667,108.508333,105.775833,93.005,100,99.463334,96.465,101.998333,101.195,90.9175,79.3025,81.338333,81.333333,84.149167,77.59,82.089167
57,AR:Argentina,245.778333,230.411667,225.929167,232.595,241.748334,265.3725,263.4875,276.380833,125.313333,126.0225,121.200833,119.539167,116.740833,113.7075,110.608333,103.565,100,95.298333,98.443333,90.385834,74.451667,86.2225,71.238334,75.5375,61.8475,54.7925,55.444166,57.1375
58,AU:Australia,75.2825,73.52,80.298334,79.356667,72.689167,73.099167,69.709167,67.041667,70.749167,79.459167,85.649167,88.009167,87.501667,92.638334,90.3275,87.545833,100.000834,106.879167,108.460833,102.920833,98.151667,89.200834,90.121667,93.1175,89.139167,85.125834,84.164167,89.351667
59,AT:Austria,107.775,110.586667,107.250833,103.046667,103.391667,101.965,98.825834,99.084167,99.5775,102.42,103.418333,102.635833,101.789167,102.221667,102.2275,102.683334,99.999167,100.340833,98.874167,100.698333,102.040833,99.106667,100.3925,101.4125,102.964167,102.104166,103.7075,103.934167
