,KEY_CODE,CITY_NAME,AZA_CODE,AZA_NAME,総数（Ａ～Ｓ全産業）,Ａ～Ｒ全産業（Ｓ公務を除く）,Ａ～Ｂ農林漁業,Ｃ～Ｓ非農林漁業,Ｃ～Ｒ非農林漁業（Ｓ公務を除く）,Ｃ鉱業、採石業、砂利採取業,Ｄ建設業,Ｅ製造業,Ｆ電気・ガス・熱供給・水道業,Ｇ情報通信業,Ｈ運輸業、郵便業,Ｉ卸売業、小売業,Ｊ金融業、保険業,Ｋ不動産業、物品賃貸業,Ｌ学術研究、専門・技術サービス業,Ｍ宿泊業、飲食サービス業,Ｎ生活関連サービス業、娯楽業,Ｏ教育、学習支援業,Ｐ医療、福祉,Ｑ複合サービス事業,Ｒサービス業（他に分類されないもの）,Ｓ公務（他に分類されるものを除く）,１～４人,５～９人,１０～１９人,２０～２９人,３０人以上,出向・派遣従業者のみ,総数（Ａ～Ｓ全産業）,男（Ａ～Ｓ全産業）,女（Ａ～Ｓ全産業）,Ａ～Ｒ全産業（Ｓ公務を除く）,男Ａ～Ｒ全産業（Ｓ公務を除く）,女Ａ～Ｒ全産業（Ｓ公務を除く）,Ａ～Ｂ農林漁業,Ｃ～Ｓ非農林漁業,Ｃ～Ｒ非農林漁業（Ｓ公務を除く）,Ｃ鉱業、採石業、砂利採取業,Ｄ建設業,Ｅ製造業,Ｆ電気・ガス・熱供給・水道業,Ｇ情報通信業,Ｈ運輸業、郵便業,Ｉ卸売業、小売業,Ｊ金融業、保険業,Ｋ不動産業、物品賃貸業,Ｌ学術研究、専門・技術サービス業,Ｍ宿泊業、飲食サービス業,Ｎ生活関連サービス業、娯楽業,Ｏ教育、学習支援業,Ｐ医療、福祉,Ｑ複合サービス事業,Ｒサービス業（他に分類されないもの）,Ｓ公務（他に分類されるものを除く）,１～４人,５～９人,１０～１９人,２０～２９人,３０人以上,民営事業所数,うち個人,うち法人,うち会社,会社以外の法人,民営従業者数,うち個人,うち法人,うち会社,会社以外の法人
33,261010000000034.0,京都市北区,3400003400.0,大宮東脇台町,9,9,-,9,9,-,2,-,-,-,1,-,-,1,1,1,-,1,2,-,-,-,5,1,2,1,-,-,72,54,18,72,54,18,-,72,72,-,13,-,-,-,14,-,-,2,28,4,-,2,9,-,-,-,13,6,25,28,-,8,5,3,3,-,44,17,27,27,-
34,261010000000035.0,京都市北区,3500003500.0,大宮開町,32,32,-,32,32,-,2,4,-,1,-,11,-,4,1,1,3,-,3,-,2,-,21,9,1,1,-,-,130,63,67,130,63,67,-,130,130,-,10,8,-,4,-,70,-,5,2,1,5,-,19,-,6,-,40,56,12,22,-,32,13,19,16,3,130,28,102,94,8
35,261010000000036.0,京都市北区,3600003600.0,大宮南田尻町,41,41,-,41,41,-,2,-,-,-,-,10,2,1,2,12,3,1,6,-,2,-,27,8,4,1,1,-,263,105,158,263,105,158,-,263,263,-,3,-,-,-,-,25,13,2,9,90,11,1,104,-,5,-,52,63,57,23,68,41,20,20,14,6,263,75,186,93,93
36,261010000000037.0,京都市北区,3700003700.0,大宮南椿原町,17,17,-,17,17,-,1,3,-,-,-,7,-,-,-,2,2,-,2,-,-,-,9,4,3,1,-,-,112,52,60,112,52,60,-,112,112,-,7,41,-,-,-,42,-,-,-,12,4,-,6,-,-,-,22,29,40,21,-,17,6,11,9,2,112,27,85,80,5
37,261010000000038.0,京都市北区,3800003800.0,大宮南箱ノ井町,10,10,-,10,10,-,2,2,-,-,-,4,-,-,-,-,-,-,1,-,1,-,5,3,2,-,-,-,53,33,20,53,33,20,-,53,53,-,6,21,-,-,-,14,-,-,-,-,-,-,10,-,2,-,10,16,27,-,-,10,2,8,6,2,53,5,48,36,12
38,261010000000039.0,京都市北区,3900003900.0,大宮南林町,7,7,1,6,6,-,1,-,-,-,1,-,-,1,1,1,-,-,-,-,1,-,6,1,-,-,-,-,17,12,5,17,12,5,8,9,9,-,1,-,-,-,1,-,-,2,2,2,-,-,-,-,1,-,9,8,-,-,-,7,5,2,1,1,17,8,9,8,1
39,261010000000040.0,京都市北区,4000004000.0,大宮南山ノ前町,18,18,-,18,18,-,-,3,-,-,-,5,1,1,-,3,2,1,2,-,-,-,10,5,1,-,2,-,152,50,102,152,50,102,-,152,152,-,-,14,-,-,-,37,4,1,-,7,6,5,78,-,-,-,25,31,18,-,78,18,10,8,6,2,152,44,108,30,78
40,261010000000041.0,京都市北区,4100004100.0,大宮薬師山西町,13,13,-,13,13,-,4,3,-,-,-,1,-,2,1,1,-,-,1,-,-,-,10,1,1,-,1,-,97,32,65,97,32,65,-,97,97,-,16,5,-,-,-,2,-,6,3,7,-,-,58,-,-,-,20,7,12,-,58,13,2,11,7,4,97,3,94,31,63
41,261010000000042.0,京都市北区,4200004200.0,大宮薬師山東町,26,26,-,26,26,-,7,3,-,1,-,5,-,1,-,4,2,1,-,-,2,-,21,2,3,-,-,-,91,61,30,91,61,30,-,91,91,-,38,7,-,4,-,19,-,1,-,11,4,3,-,-,4,-,47,11,33,-,-,26,14,12,10,2,91,34,57,53,4
42,261010000000043.0,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
